BookID,Title,Author,Downloads
10226,"Beautiful Joe
An Autobiography","Saunders, Marshall",12
10227,Tolstoy's Plower Story,"Wanamaker, John",2
10228,El Presidente Díaz al Señor Edison,"Díaz, Porfirio",21
10229,My South Polar Expedition,"Shackleton, Ernest Henry, Sir",25
1023,Bleak House,"Dickens, Charles",1543
10230,Remarks from a Visit to Edison Laboratory,"Daniels, Josephus",6
10231,Remarks from a Visit to Edison Laboratory,"Daniels, Addie Worth Bagley",1
10232,Remarks from a Visit to Edison Laboratory,"Miles, Nelson Appleton",1
10233,Transcontinental Telephone Address to Thomas A. Edison,"Hutchinson, Miller Reese",3
10234,Old Creole Days: A Story of Creole Life,"Cable, George Washington",39
10235,Discussion on Edison's Monoid Theory,"Edison, Theodore M.",2
10236,International Correspondence School - Spanish Lesson #9,None,37
10237,Siegel-Myers School of Music - Vocal Record F,None,1
10238,"Ediphone School Record No. 2
90 WPM-1",None,1
10239,2nd Record,Losey's Orchestra,13
1024,The Wrecker,"Stevenson, Robert Louis",67
10240,"Plaque No. 1
Exp. No. 1-2-3-4, Recorder #20",Losey's Orchestra,1
10241,"Plaque No. 2
Exp. No. 5-6-7-8, Recorder #20",Losey's Orchestra,2
10242,"Plaque No. 6
Exp. No. 27, Recorder #20",Losey's Orchestra,1
10243,"Radio Program for WAAM, Newark, New Jersey","Scott, John A.",11
10244,"Johnson ""Jass"" Blues
Fox Trot",Frisco Jass Band,6
10245,"Jazz de Luxe
Fox Trot","Fuller, Earl",24
10246,Sensation Jazz: One-Step,All-Star Trio,29
10247,"Dixieland
One-Step",Lopez and Hamilton's Kings of Harmony,6
10248,Blues my Naughty Sweetie Gives to Me,Harry Raderman's Jazz Orchestra,8
10249,The St. Louis Blues,"Handy, W. C. (William Christopher)",32
1025,"Essays; Political, Economical, and Philosophical — Volume 1","Rumford, Benjamin, Graf von",9
10250,The Five Bachelors,Ramsay,2
10251,Town Geology,"Kingsley, Charles",29
10252,The Old Violin,"Higham, Daniel",22
10253,The Gospel of Wealth,"Carnegie, Andrew",64
10254,The Birth of the Telephone,"Watson, Thomas Augustus",13
